classification	db_link	observation_name	observation_sum	1006_Rp_Control	1007_Rp_LE	1025_Rp_Control	1028_Rp_Control	1028bis_Rp_Control	1038_Rp_Control	1046_Rp_LE	1047_Rp_Control	1059_Rp_Control	1060_Rp_Control	1065_Rp_LE	1066_Rp_Control	1073_Rp_LE	1086_Rp_LE	1086bis_Rp_LE	1099_Rp_Control	1099bis_Rp_Control	1102_Rp_Control	1122_Rp_Control	1136_Rp_Control	1136bis_Rp_Control	1140_Rp_LE	1150_Rp_Control	1150bis_Rp_Control	581_Rm_Control	581bis_Rm_Control	592_Rm_LE	602_Rm_Control	612_Rm_Control	624_Rm_LE	624bis_Rm_LE	624ter_Rm_LE	629_Rm_Control	641_Rm_LE	651_Rm_Control	654_Rm_Control	665_Rm_LE	677_Rm_Control	680_Rm_LE	685_Rm_Control	689_Rm_LE	701_Rm_Control	732_Rm_LE	732bis_Rm_LE	750_Rm_Control	777_Rm_Control	798_Rm_LE	815_Rm_LE	817_Rm_Control	827_Rm_LE	835_Rm_Control	855_Rm_Control	862_Rm_LE	896_Rm_Control	920_Rm_LE	927_Rm_Control	935_Rm_Control	944_Rp_Control	950_Rp_LE	950bis_Rp_LE	952_Rp_LE	959_Rp_Control	964_Rp_Control	966_Rp_LE	972_Rp_Control	978_Rp_LE	978bis_Rp_LE	989_Rp_Control	992_Rp_LE
Metabolism;Carbohydrate metabolism;Glycolysis / Gluconeogenesis;Glycolysis / Gluconeogenesis	https://www.genome.jp/entry/ko00010	ko00010	696233.7920000005	5942.407499999999	6952.9924999999985	6018.06725	6548.122500000001	5067.458750000001	7277.228999999999	9649.280250000002	8783.9395	10214.349500000002	12127.343749999998	10882.8775	9589.226250000002	7051.824500000001	11702.673750000002	6310.614	10393.605000000001	7456.051999999999	12202.075	9178.800749999999	6757.090000000001	7513.022000000002	9678.682249999998	10244.830000000002	6115.388750000001	10253.10925	11322.439500000002	10056.033500000001	15506.560999999998	10354.713500000002	10388.519	13084.39675	7333.0815	13980.873750000002	7699.82175	15065.755	11873.519250000001	8967.835749999998	13195.178000000004	9974.202000000001	11785.82025	11900.28025	14629.71425	8869.676749999999	2913.135	9220.753	10906.769249999998	11162.141500000002	12026.00475	13874.509250000003	13435.128500000003	15164.0825	11662.782500000003	11520.702000000001	13293.616999999998	7256.92525	13748.778	10659.343749999998	9405.5645	9522.37425	5728.059499999999	6958.44275	13340.866750000001	12266.30425	10102.43275	12194.632249999999	11609.32525	3524.3494999999994	15423.891749999999	9413.392999999996
Metabolism;Carbohydrate metabolism;Citrate cycle (TCA cycle);Citrate cycle (TCA cycle)	https://www.genome.jp/entry/ko00020	ko00020	650428.1985185187	4765.029629629629	7059.115185185183	5503.773703703704	4729.336296296296	3758.172222222222	7141.355555555555	9841.50851851852	7692.435555555556	8446.795185185185	11127.82925925926	9730.063703703703	7669.120370370371	6672.2674074074075	11973.355185185186	6314.806296296296	11152.64	7617.791481481481	10839.992962962962	9247.336666666666	4316.414074074074	4823.433703703703	9262.494074074075	6588.740740740741	4029.7503703703715	9079.301481481481	9478.874074074074	9911.396666666667	14102.59888888889	10099.955185185185	10326.603703703704	12474.737777777777	6697.672592592593	13077.003703703705	8043.885555555557	13793.768518518518	11545.484814814814	8248.033333333335	13148.151481481485	10149.3	11179.516666666666	11916.355555555558	14302.880000000001	8287.07037037037	3037.7077777777777	9372.122222222222	9090.914444444445	9674.076666666668	11899.922222222223	14095.942962962963	13354.264814814816	14925.62037037037	11742.207407407412	11449.150370370371	13031.267777777779	7213.556296296295	12783.78111111111	10942.107407407411	8900.318518518518	6323.853333333333	4838.812962962963	7189.155555555555	11805.61962962963	11187.27185185185	9810.194444444445	12017.98888888889	12633.773333333333	3573.531111111111	13805.245555555555	9563.642962962962
Metabolism;Carbohydrate metabolism;Pentose phosphate pathway;Pentose phosphate pathway	https://www.genome.jp/entry/ko00030	ko00030	978592.3627272727	8151.867727272728	9837.080454545456	8127.612727272726	9620.595454545455	7470.482272727273	9875.83818181818	13667.909545454546	12037.80909090909	14100.150909090911	16655.012272727272	16272.595909090915	13832.793181818184	10392.390000000001	16670.390454545457	9088.226818181818	14306.905454545456	10446.032727272726	16817.835	12331.091818181816	9844.425454545453	10732.830454545458	14227.54318181818	14568.814545454543	8851.302727272729	15271.603636363632	16980.813636363637	14769.490454545456	20691.98590909091	14166.612727272726	14412.186818181817	18681.85	10461.539090909091	19063.718181818185	10608.652272727271	21351.060454545455	16133.244545454545	13509.82590909091	18282.24454545455	13932.10409090909	16078.78318181818	17066.237727272728	19959.613181818182	12982.797727272724	4051.814545454545	12868.275454545454	15587.462727272725	15889.971818181819	17429.84318181818	18839.785454545457	18833.06636363636	20304.00681818182	15827.855000000003	16139.889545454549	18148.934545454547	10784.70090909091	18962.26636363636	14455.025909090911	12887.81863636364	13853.894545454545	8743.81909090909	10215.731818181817	17840.363636363636	16750.963636363635	14318.44363636364	16279.580454545456	17157.174545454545	5372.051818181818	21280.079545454548	13437.642272727271
Metabolism;Carbohydrate metabolism;Pentose and glucuronate interconversions;Pentose and glucuronate interconversions	https://www.genome.jp/entry/ko00040	ko00040	502996.3838461537	3580.5030769230775	5809.83576923077	3843.5892307692307	3434.560384615385	2790.961538461539	5504.881538461538	7746.814230769231	5977.674230769232	6407.943076923078	8772.649230769232	7886.028076923078	6035.932692307692	5289.7315384615395	9256.534230769232	4896.758846153846	8670.626153846153	6089.570000000001	8392.362692307692	7003.266153846153	3259.348846153846	3621.713461538461	7565.84423076923	5263.835384615385	3227.7557692307696	6897.330769230768	7593.197692307693	7539.651153846154	10554.479615384615	7342.6519230769245	7770.071153846153	9268.507692307692	5050.971153846154	9879.128846153846	5987.017307692307	10971.820384615385	8765.184615384615	6320.326923076923	10366.991153846155	7979.252692307693	8723.346923076922	8455.823846153846	10935.103846153845	6194.471923076922	2384.0126923076923	7388.976153846155	6627.62423076923	7172.6034615384615	9627.029615384616	11156.41576923077	10497.561538461538	11536.65269230769	9304.721153846154	8780.068076923075	10159.47	5799.322307692308	9886.995384615384	8487.704615384615	6915.024230769231	4524.430769230769	3812.531923076923	5416.6057692307695	8855.353076923077	8570.166538461539	7860.986153846155	9352.216538461538	10658.133846153845	2932.7230769230764	11164.901153846153	7200.1030769230765
Metabolism;Carbohydrate metabolism;Fructose and mannose metabolism;Fructose and mannose metabolism	https://www.genome.jp/entry/ko00051	ko00051	682421.4887878789	5369.643636363636	7376.733333333332	5953.076969696969	5124.794242424242	3947.91	7473.353939393939	10315.889090909091	8238.238484848485	9341.186666666668	12223.960606060604	9807.533030303033	8509.001515151516	6884.878787878788	12106.496969696971	6341.329696969697	11142.786363636362	7746.28606060606	11585.261818181818	9601.42212121212	5579.819696969696	5998.841212121212	9801.488787878789	8529.633939393942	5223.283636363637	8610.487575757576	9854.666363636363	9636.300606060606	15840.76303030303	10247.402121212122	10409.431515151515	12268.779090909089	6977.513636363637	14292.583333333334	7937.035454545453	14928.050909090907	12136.930000000002	7913.615151515152	13947.819696969696	10450.813939393938	12261.300303030303	11084.586666666668	15025.514242424242	7710.262727272728	3121.1242424242428	9648.850909090908	9392.242727272727	9867.076363636363	12281.359696969697	15009.77909090909	14042.716666666667	16479.48878787879	12307.617878787882	11577.16606060606	13807.395454545456	6926.347272727273	13392.421212121213	11206.926363636365	9763.31787878788	7136.201212121212	5058.439696969697	6691.508787878788	13167.25787878788	11863.88212121212	10372.868787878788	13237.737575757576	12425.663939393942	3522.1406060606055	15009.761818181818	9355.488787878787
Metabolism;Carbohydrate metabolism;Galactose metabolism;Galactose metabolism	https://www.genome.jp/entry/ko00052	ko00052	800230.1420689657	6463.29448275862	8529.625172413793	6656.430344827584	6338.043103448276	5163.950689655173	8765.227586206896	11590.128620689655	10173.810689655173	11208.758275862068	14217.089310344827	12092.215172413795	10516.651724137932	7887.109655172415	13601.46931034483	7252.477241379309	12674.589310344829	8966.764482758621	14075.763448275862	11103.891724137933	6822.747241379309	7685.570689655174	11031.615862068966	11058.56172413793	6602.858620689655	11013.275862068966	12337.97103448276	11455.431724137932	17953.052758620688	11836.519310344827	12137.973793103445	14491.99793103448	8270.729310344828	16138.706896551725	9153.06	17094.331379310348	14008.44655172414	9667.123448275863	15888.043103448275	11880.236551724138	13913.419655172413	12437.021379310345	17248.324137931035	9664.526206896551	3498.1165517241375	11022.725172413793	11581.227241379309	12268.567931034482	13857.435862068964	17222.790689655172	16082.864137931036	18131.10551724138	14168.779310344831	13472.411724137934	15883.028275862067	8387.963103448275	15967.338275862066	13170.941034482757	11323.373448275863	9381.022413793104	6154.853448275862	8023.679655172414	15291.188275862072	14184.978620689655	11956.349655172415	15002.686896551726	14427.77172413793	4040.758275862069	18214.60103448276	10444.748275862068
Metabolism;Carbohydrate metabolism;Ascorbate and aldarate metabolism;Ascorbate and aldarate metabolism	https://www.genome.jp/entry/ko00053	ko00053	154458.15444444446	1244.986111111111	1641.7083333333333	1270.132222222222	1480.9638888888887	1136.7083333333333	1584.7144444444448	2231.961111111111	1874.7888888888892	2271.7855555555557	2598.7400000000002	2649.1694444444447	2210.45	1628.1683333333335	2695.8455555555556	1440.9822222222222	2335.55	1677.3883333333333	2789.9694444444444	1970.8161111111112	1630.8122222222223	1720.1738888888892	2343.156111111111	2000.887777777778	1297.1266666666666	2403.637222222222	2558.8688888888887	2409.661111111111	3033.3261111111115	2113.1205555555553	2281.161111111111	2826.5727777777774	1631.8194444444443	2973.7194444444444	1705.4083333333333	3134.1955555555555	2486.048333333333	2104.5205555555553	2918.0283333333336	2258.2805555555556	2529.413888888889	2626.2766666666666	3091.5222222222224	2084.286666666667	670.8883333333333	2092.0472222222224	2349.1311111111113	2419.825	2707.1200000000003	3031.0588888888888	2960.347222222222	3168.9755555555553	2544.476666666667	2609.6911111111112	2925.270555555556	1738.351111111111	2910.7883333333334	2346.6544444444444	2089.915	2076.387222222222	1378.4427777777778	1709.001666666667	2695.1533333333336	2624.056111111111	2315.2855555555557	2653.8633333333337	3058.048333333333	862.11	3500.417222222222	2123.9955555555553
Metabolism;Lipid metabolism;Fatty acid biosynthesis;Fatty acid biosynthesis	https://www.genome.jp/entry/ko00061	ko00061	985523.8930769236	8942.216923076923	9222.591538461538	8676.246923076922	11191.207692307693	7946.895384615385	10082.795384615385	13117.073846153846	12244.629230769233	15625.22230769231	17195.41153846154	17024.497692307694	14811.096153846154	10446.794615384617	16988.39923076923	9073.699999999999	13426.182307692306	9873.556923076922	17012.39153846154	12220.047692307695	10752.603076923077	11320.13230769231	14145.68076923077	13773.676153846154	8219.136923076923	16102.321538461538	16797.37769230769	14487.81846153846	21256.766923076924	14683.930769230767	14259.993076923074	19106.98846153846	10647.435384615384	19159.949999999997	10024.128461538463	21325.831538461538	16326.817692307694	14396.764615384616	18194.263846153848	13281.044615384615	16147.867692307693	18019.079230769228	19998.906923076924	13841.542307692307	3920.251538461538	12216.182307692306	17054.335384615384	16963.046153846153	16996.657692307694	17652.921538461538	18312.04153846154	20127.346153846152	15812.189230769232	15784.909230769235	17741.48153846154	10761.306923076922	19469.926153846154	14003.43	12715.934615384616	15670.298461538461	8908.101538461538	9934.419230769232	18100.67769230769	17367.944615384615	14083.190769230772	15545.831538461538	16034.863076923077	5087.0992307692295	20051.769999999997	13816.72153846154
Metabolism;Lipid metabolism;Fatty acid degradation;Fatty acid metabolism	https://www.genome.jp/entry/ko00071	ko00071	226097.41916666663	1753.325	2446.0854166666663	1821.9279166666668	1688.5083333333332	1471.9666666666665	2450.3370833333333	3167.2208333333333	2914.220833333333	3032.5754166666666	3944.0470833333334	3469.63125	2967.78125	2227.294583333334	3784.003333333334	2101.6895833333333	3718.80625	2626.4275000000002	4024.716666666667	3168.5691666666667	1642.6220833333334	1945.6175000000003	3136.8641666666676	2807.2112500000003	1738.5112499999998	3180.62625	3538.623333333333	3252.285416666667	4893.006666666667	3408.095416666667	3442.525	4278.791249999999	2297.3416666666667	4527.068749999999	2642.633333333333	4938.047083333334	3987.3679166666666	2935.4929166666666	4508.355833333334	3425.345833333333	3956.7958333333336	3678.5070833333334	4968.577083333334	2805.9975	1002.6816666666667	3153.3020833333335	3269.9245833333334	3536.3000000000006	4118.34125	4861.389166666667	4441.83125	5098.895416666667	4073.2570833333334	3845.0025	4562.97	2353.4970833333336	4474.029583333333	3702.4883333333332	3145.9595833333333	2495.8408333333336	1746.4470833333332	2313.8320833333332	4315.082916666667	3998.0454166666664	3366.892083333334	4230.461666666667	3991.9449999999997	1196.0404166666667	5067.468333333333	3020.049166666666
NA	https://www.genome.jp/entry/ko00072	ko00072	89033.39999999997	939.2125	976.975	529.5699999999999	936.03	577.6075	440.745	1043.675	495.91999999999996	690.4575	1036.2675	1074.9375	686.4875	1052.145	1207.895	924.2875	1333.9125	1133.695	893.3125	632.7325	645.6800000000001	933.2325	1484.52	2636.7125	1378.45	1479.9425	1879.0625	1535.3625	2608.0625	1506.5825	1301.98	2349.645	883.3575	2136.725	1033.0	2537.1	1107.455	1787.3125	1425.525	1712.625	1328.2625	2467.855	1694.3425	1304.8	375.2875	1527.8875	1377.73	1153.38	2443.55	1607.1625	1780.0325	1851.625	1103.9125	1310.545	1123.805	1298.3075	1851.7675	884.3	599.5575	988.8175	876.0699999999999	1051.795	1536.3675	975.2425000000001	1107.2325	1027.42	1505.8675	875.975	1654.055	1382.25
