classification	db_link	observation_name	observation_sum	1006_Rp_Control	1007_Rp_LE	1025_Rp_Control	1028_Rp_Control	1028bis_Rp_Control	1038_Rp_Control	1046_Rp_LE	1047_Rp_Control	1059_Rp_Control	1060_Rp_Control	1065_Rp_LE	1066_Rp_Control	1073_Rp_LE	1086_Rp_LE	1086bis_Rp_LE	1099_Rp_Control	1099bis_Rp_Control	1102_Rp_Control	1122_Rp_Control	1136_Rp_Control	1136bis_Rp_Control	1140_Rp_LE	1150_Rp_Control	1150bis_Rp_Control	581_Rm_Control	581bis_Rm_Control	592_Rm_LE	602_Rm_Control	612_Rm_Control	624_Rm_LE	624bis_Rm_LE	624ter_Rm_LE	629_Rm_Control	641_Rm_LE	651_Rm_Control	654_Rm_Control	665_Rm_LE	677_Rm_Control	680_Rm_LE	685_Rm_Control	689_Rm_LE	701_Rm_Control	732_Rm_LE	732bis_Rm_LE	750_Rm_Control	777_Rm_Control	798_Rm_LE	815_Rm_LE	817_Rm_Control	827_Rm_LE	835_Rm_Control	855_Rm_Control	862_Rm_LE	896_Rm_Control	920_Rm_LE	927_Rm_Control	935_Rm_Control	944_Rp_Control	950_Rp_LE	950bis_Rp_LE	952_Rp_LE	959_Rp_Control	964_Rp_Control	966_Rp_LE	972_Rp_Control	978_Rp_LE	978bis_Rp_LE	989_Rp_Control	992_Rp_LE
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;E1.1.1.1, adh, alcohol dehydrogenase [EC:1.1.1.1]	https://www.genome.jp/dbget-bin/www_bget?K00001	K00001	1074571.0	7453.75	12897.25	10185.0	2119.5	1811.5	14775.0	17358.5	14236.5	13878.25	23421.5	10805.0	11280.0	9504.25	19738.75	9819.75	22228.5	13787.75	18946.75	20097.75	1596.5	1776.75	13932.25	4140.75	2687.25	6386.25	7476.0	11099.25	29607.5	18009.5	18184.75	18294.75	9875.75	22400.75	14505.75	27242.75	24628.25	6460.25	26559.25	18177.5	24154.75	14737.75	30082.5	6653.25	5531.0	16513.0	10957.25	13437.25	20176.25	30971.5	24118.25	34332.0	25410.75	20350.0	26536.0	7155.0	23212.5	22320.75	18630.25	2463.25	3417.25	7030.75	24462.75	21396.0	17755.75	28192.75	14951.25	3566.25	23486.0	15182.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;E1.1.1.3, homoserine dehydrogenase [EC:1.1.1.3]	https://www.genome.jp/dbget-bin/www_bget?K00003	K00003	780911.0499999998	8122.6	5344.82	7630.36	13042.199999999999	9992.43	6083.5599999999995	9032.279999999999	10349.18	14013.58	11576.07	13911.7	13603.95	8425.16	11449.16	6514.32	6852.65	6142.28	14233.5	7248.93	14763.47	16169.18	10478.5	20044.85	12144.05	16088.77	18716.33	12332.619999999999	15936.25	11091.33	10290.84	15663.25	9557.93	15444.65	6260.42	15473.15	10251.57	12925.5	10898.43	8569.0	11209.8	15733.67	12589.12	12044.7	2366.0699999999997	7903.05	16778.42	16033.35	11537.7	9339.07	12934.460000000001	11868.5	8956.15	10603.93	12510.47	8366.15	14709.82	7759.45	9025.48	19270.269999999997	9166.449999999999	7836.01	13682.47	12695.97	9184.26	9057.68	9094.14	3846.23	18133.47	10005.92
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;BDH, butB, (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	https://www.genome.jp/dbget-bin/www_bget?K00004	K00004	1092.0	23.0	10.0	2.0	23.0	19.0	2.0	8.0	9.0	22.0	5.0	7.0	12.0	9.0	12.0	8.0	11.0	6.0	14.0	6.0	8.0	29.0	8.0	53.0	28.0	7.0	22.0	30.0	37.0	8.0	12.0	13.0	21.0	23.0	2.0	12.0	5.0	15.0	10.0	10.0	31.0	7.0	21.0	7.0	6.0	5.0	35.0	18.0	16.0	14.0	23.0	58.0	7.0	5.0	16.0	3.0	19.0	3.0	13.0	54.0	13.0	10.0	27.0	10.0	10.0	16.0	20.0	9.0	51.0	4.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;gldA, glycerol dehydrogenase [EC:1.1.1.6]	https://www.genome.jp/dbget-bin/www_bget?K00005	K00005	104647.52999999997	794.6800000000001	1025.73	884.95	1208.62	1112.1	470.22999999999996	1582.87	708.4300000000001	835.6600000000001	1129.9	1181.2800000000002	1170.7	1323.5	1335.9099999999999	858.4	1409.23	1158.3600000000001	1403.83	723.7600000000001	1581.39	1767.4299999999998	1580.9099999999999	4021.85	2537.13	1440.27	2872.83	1956.78	2605.58	1225.5	1400.25	2229.91	1329.1	2754.15	1259.5	2735.15	1140.32	1034.17	1330.93	1337.92	1698.7199999999998	2440.5	1596.9500000000003	1189.0300000000002	374.07	1276.13	1584.5900000000001	1435.94	2086.7799999999997	1940.82	2070.55	2301.33	1128.98	1654.7599999999998	1833.39	1140.15	1792.3200000000002	878.2	1013.15	1916.52	1213.4499999999998	959.9300000000001	1673.39	1204.8899999999999	1297.43	1515.9299999999998	1677.3000000000002	747.98	3192.8900000000003	1352.25
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;SORD, gutB, L-iditol 2-dehydrogenase [EC:1.1.1.14]	https://www.genome.jp/dbget-bin/www_bget?K00008	K00008	574638.6499999999	5456.5	4271.0	4586.33	9119.67	7425.08	5170.58	5837.0	8549.58	10456.33	9857.67	13208.0	12287.0	6713.58	8153.33	5015.25	5114.25	4573.08	10765.0	5469.83	9024.17	9847.33	9227.83	11194.25	7056.0	13149.67	13966.25	8598.0	8475.0	7124.83	7573.67	12464.33	6888.33	8581.25	4345.0	13971.75	8296.67	10272.75	8104.0	6637.75	7524.0	11113.92	10265.42	9267.0	1732.25	6130.75	13445.67	12498.92	10300.25	7148.25	8297.08	7700.5	6811.0	8505.08	8588.92	5738.58	9928.17	6283.5	7071.33	13916.92	7302.33	5546.08	9858.42	10705.67	8154.33	5652.83	6439.17	3068.25	11269.92	7546.25
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;mtlD, mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	https://www.genome.jp/dbget-bin/www_bget?K00009	K00009	26039.900000000012	287.5	167.0	435.2	416.0	255.5	212.4	341.5	140.7	319.5	264.3	93.0	157.4	149.7	451.1	172.3	190.0	222.5	350.0	192.5	552.2	583.2	327.5	985.6	634.0	212.0	624.7	432.5	913.4	425.0	288.0	376.0	358.5	923.0	296.0	444.0	200.0	116.9	349.7	230.0	488.5	442.0	240.0	369.5	106.5	223.0	483.0	470.4	434.0	377.5	646.0	1002.5	434.9	211.2	690.0	366.0	403.2	207.5	314.4	775.2	247.5	296.0	639.0	268.8	166.2	210.5	797.9	111.4	327.0	200.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;iolG, myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	https://www.genome.jp/dbget-bin/www_bget?K00010	K00010	39828.5	135.5	427.0	128.0	363.0	371.5	381.0	468.5	246.5	271.5	307.5	265.0	233.0	241.5	344.5	348.5	556.0	408.5	413.0	579.5	314.0	463.0	356.5	371.0	246.0	1053.0	1188.5	675.5	717.0	697.0	755.0	1030.0	564.5	1152.0	543.0	970.0	527.0	567.5	568.5	788.0	491.5	1243.0	682.0	696.5	250.5	826.0	801.0	965.0	836.0	891.5	869.0	602.5	637.5	594.0	845.0	494.0	790.0	793.5	469.0	430.0	411.5	520.0	363.0	594.0	414.0	419.5	1126.5	313.0	1041.0	382.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;UGDH, ugd, UDPglucose 6-dehydrogenase [EC:1.1.1.22]	https://www.genome.jp/dbget-bin/www_bget?K00012	K00012	1735596.9200000002	12435.07	19391.25	14509.58	11623.25	8761.25	20624.910000000003	26678.0	21641.320000000003	24111.420000000002	32797.240000000005	27440.570000000003	22021.75	17559.33	33089.5	16666.67	30080.070000000003	20193.170000000002	29508.320000000003	26309.170000000002	10260.85	10284.58	25198.84	11225.76	7051.33	23662.42	22571.92	25186.0	36277.590000000004	25741.0	28064.679999999997	32472.34	17913.75	31113.5	21206.429999999997	37753.24	32582.17	21740.67	37611.41	26962.679999999997	30555.679999999997	29075.01	39693.0	20898.59	8069.09	25078.070000000003	24856.329999999998	26120.179999999997	31671.59	39683.829999999994	36088.07	41254.840000000004	33893.83	30917.920000000002	35349.85	18121.67	34109.409999999996	31469.76	25610.99	15799.42	12108.67	17955.150000000005	32208.079999999998	31922.829999999998	27392.920000000002	32974.07000000001	33845.17	8619.4	34945.829999999994	24984.67
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;hisD, histidinol dehydrogenase [EC:1.1.1.23]	https://www.genome.jp/dbget-bin/www_bget?K00013	K00013	1282781.2099999997	9950.26	12777.9	11221.279999999999	12170.949999999999	9828.1	13472.56	18012.949999999997	16613.510000000002	19126.83	22570.230000000003	21353.61	18546.45	13402.58	22415.66	12100.07	19434.81	13785.53	22856.910000000003	17212.18	12423.06	13496.43	18107.5	15244.52	9855.130000000001	20183.519999999997	21414.829999999998	19066.949999999997	25410.0	18941.5	19443.839999999997	24833.75	13848.85	23296.15	14060.84	28021.480000000003	22107.07	17989.42	24657.010000000002	18412.589999999997	21019.639999999996	22898.42	27097.2	16449.45	5403.24	16893.71	20834.92	21498.939999999995	22454.699999999997	25233.82	24504.46	26481.5	21287.980000000003	21507.43	24528.059999999994	13502.07	24426.9	19923.87	17708.980000000003	17579.27	11045.62	13363.59	23225.969999999998	22573.219999999998	18702.18	21767.260000000002	20962.72	6676.889999999999	27278.719999999998	18283.67
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;aroE, shikimate dehydrogenase [EC:1.1.1.25]	https://www.genome.jp/dbget-bin/www_bget?K00014	K00014	1390069.36	10621.01	13734.9	12338.23	13464.699999999999	11017.1	14048.21	20015.949999999997	17389.96	19933.33	23633.030000000002	22628.360000000004	19609.600000000002	14963.03	24018.510000000002	13044.119999999999	20473.56	14695.28	23804.660000000003	17934.68	14238.01	15284.130000000001	19825.25	18724.370000000003	12030.630000000001	21761.519999999997	24444.78	21118.699999999997	28162.15	20430.5	20964.089999999997	27055.0	15406.85	25842.15	15357.34	30783.980000000003	23231.32	19092.57	26082.210000000003	19793.589999999997	22884.389999999996	25255.67	28626.7	17661.449999999997	5814.49	18224.96	22521.17	23093.589999999997	24416.7	26914.07	26964.96	28987.5	22566.630000000005	23139.88	26623.809999999994	14684.07	26162.100000000002	20842.87	18848.880000000005	19570.469999999998	12532.87	14465.84	24832.969999999998	23723.519999999997	20222.38	23326.010000000002	22999.120000000003	7445.289999999999	30098.969999999998	19620.67
