KEGG_ko	CTU_ABQ_Rm_LE	CTU_ABR_Rm_LE	CTU_ABX_Rm_LE	CTU_ABZ_Rp_LE	CTU_ACA_Rp_LE	CTU_ACB_Rp_LE	CTU_ACC_Rp_LE	CTU_ACE_Rp_LE	CTU_ACG_Rp_LE	AL_Rm_LE	AM_Rm_LE	AN_Rm_LE	AS_Rp_LE	AT_Rp_LE	AU_Rp_LE	AV_Rp_LE	AW_Rp_LE	BK_Rm_LE	BL_Rm_LE	BM_Rm_LE	BN_Rm_LE	BO_Rm_LE	BP_Rm_LE	BQ_Rm_LE	BRZ_GK_Rm_Control	BRZ_GL_Rp_Control	BRZ_GN_Rm_Control	BRZ_GP_Rp_Control	BRZ_GS_Rm_Control	BRZ_GT_Rp_Control	BRZ_HA_Rm_Control	BRZ_HB_Rp_Control	BRZ_HE_Rm_Control	BRZ_HF_Rp_Control	BRZ_HI_Rm_Control	BRZ_HK_Rp_Control	BRZ_HN_Rm_Control	BRZ_HP_Rp_Control	BRZ_HS_Rm_Control	BRZ_HT_Rp_Control	BRZ_IB_Rm_Control	BRZ_IC_Rp_Control	BRZ_IF_Rm_Control	BRZ_IG_Rp_Control	BX_Rp_LE	BY_Rp_LE	BZ_Rp_LE	sum
-	16994702	16179971	16838018	17876197	12622334	17921676	17907304	13440232	15676474	16740887	17527577	16774301	17825679	16185937	15397248	19956227	19834599	20690180	15594060	15014535	17676529	15885216	18157167	19364345	30420862	50056667	42363388	42356758	57184895	38747829	39519250	42739505	33272305	40838744	52461258	65779881	34320650	63543827	55445644	65574305	67352936	68919803	41790802	36728084	15006467	21473392	17836036	1431814683
K00001	7361	7580	8307	2823	4432	6675	7852	4952	4710	7571	8411	6841	7123	6048	6114	3347	9188	8808	6621	6843	7772	7061	7286	3920	3392	33571	14494	19949	30878	23581	18789	22890	20509	24667	33713	33963	20740	33375	28753	44751	37861	16169	26864	21840	3827	10407	2501	685130
K00002	133	145	181	368	133	182	195	162	144	251	209	104	233	181	256	497	384	260	174	141	152	198	230	472	370	587	535	694	717	337	297	788	447	287	585	800	382	980	753	1376	1064	2575	464	492	297	368	310	20890
K00003	7783	5802	7623	7976	5468	7473	7266	5998	7180	6112	8365	5921	6895	5871	6497	7686	8591	8106	6476	6192	6520	6664	7749	10241	13687	14424	21208	15618	17867	16602	11887	17895	9464	10295	14865	22014	9675	24475	19933	22091	22131	41526	14038	11991	6229	9677	8494	546541
K00004	419	317	463	622	288	397	422	254	344	589	688	543	547	566	640	913	687	878	660	404	556	541	1146	828	1347	895	1312	2822	1539	1044	2203	1028	1804	1847	3195	2265	1674	1792	2504	1658	1736	3778	1758	1382	496	809	795	53395
K00005	1594	1295	1842	1763	1491	1699	2113	1664	1659	1568	2276	1270	1983	1482	1993	1828	2698	1911	1622	2148	2166	1956	2235	3212	3035	5949	5181	6643	6205	5149	3324	7345	3678	3775	5513	7235	4033	8956	6882	10848	9464	16691	5335	5132	1627	2308	2038	181814
K00007	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	23	2	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	15	0	0	121	0	0	2	2	0	0	0	0	1	0	2	187
K00008	1340	1995	1851	2216	1118	1489	1419	1185	1257	2499	2314	1259	1530	1465	1541	2570	2082	3088	1971	2032	1428	1398	1979	2718	2958	3172	11042	3148	4201	2879	2234	2920	2284	1846	3688	5564	2042	4825	5451	5849	5326	11158	3694	2551	1768	1819	1713	135876
K00009	6572	6194	6927	7844	4673	7518	7611	5785	7445	6032	6482	6335	6517	6130	6414	6965	8217	7554	5351	5424	6883	5423	6151	6087	10737	22612	13654	12966	23111	17608	15284	13765	12176	17085	19896	26173	14109	18605	21054	25212	25852	16857	17325	12631	6006	7940	6703	533895
K00010	665	614	689	670	419	390	517	509	675	558	995	456	464	378	577	763	645	739	721	1034	774	567	753	767	932	962	1210	812	1559	925	1063	717	587	613	1288	2409	829	1293	1465	1827	2117	2767	849	679	391	834	740	42207
K00012	7760	8214	7721	9762	5517	7017	8192	6538	5999	9540	8214	9458	9311	8250	7779	10968	10514	11655	7867	7771	9228	8341	8891	9240	14440	27351	23745	21509	30431	22533	24168	28669	18387	22844	33143	40488	18586	38462	30454	42887	37027	41214	24014	20360	7966	11737	8685	792847
K00013	12137	10742	10318	11036	7080	11891	11461	8314	7906	9670	10127	9457	9445	8456	8531	11734	11475	12234	9168	9335	9507	9192	10012	10531	15137	28683	18368	21558	29431	24244	19836	26486	15992	22306	28595	37595	17338	35602	30888	39320	34498	37519	22108	18159	8741	13496	10458	796117
K00014	10825	10527	10021	12345	7404	10996	11816	9050	10214	9307	10547	8650	9197	8163	8277	11198	10463	11611	8726	8662	9603	8744	9915	11241	16385	24674	25024	19965	27161	20225	18755	22081	13851	17915	24046	33459	15249	30920	28616	32941	31429	37662	20587	15963	8278	12402	10730	745820
K00015	545	566	505	554	408	616	624	371	276	502	416	433	498	398	363	682	506	559	436	470	455	439	522	477	873	1356	1226	1343	1664	1046	899	1785	1150	1079	1622	2498	953	2477	1590	2825	1860	4458	1452	1257	372	731	525	46662
K00016	2793	2876	3674	3718	2966	3262	3566	2822	2944	5450	5011	2907	4801	4082	4372	4667	6846	4883	3689	4213	4251	4056	4817	6096	10181	10878	13757	14518	16007	13600	12021	18439	9962	8737	17698	21253	8703	26946	15116	26176	24423	44769	12787	12111	5070	5801	5362	453077
K00018	9098	7604	8313	8561	5535	7760	8229	6605	7564	6824	7862	7572	7296	6205	6750	8376	8433	8490	6272	6573	7997	7011	7422	8039	11220	22948	15622	14969	22942	17010	15941	16682	12204	17381	21546	27015	13264	24764	22479	28485	25721	27946	17502	13473	5908	9935	7337	592685
K00019	12	11	28	27	87	12	11	13	26	11	35	11	98	14	44	34	30	21	12	34	9	15	10	23	48	63	153	300	39	71	55	251	35	29	50	100	55	132	42	203	103	178	53	66	16	12	17	2699
K00020	486	694	580	617	457	537	662	595	494	1267	866	493	819	736	686	751	1391	941	485	764	839	765	703	1080	1731	2375	2445	2833	3734	3082	1392	4057	2349	1566	3702	4628	1678	5519	2691	6384	5949	7618	2826	2051	1135	1133	888	89474
K00021	10	65	53	68	44	58	16	21	20	177	99	43	69	114	23	223	22	127	116	173	44	48	66	90	59	195	90	136	30	48	25	115	54	107	173	171	92	174	121	136	85	406	282	109	112	83	93	4685
K00023	795	1258	1134	1791	632	970	787	568	950	1541	1257	1201	1269	1366	1167	3326	1285	1788	1147	1144	1459	991	1146	1688	3400	2276	1339	917	2374	564	2391	1777	743	1915	1018	5356	1026	1101	2017	2133	3184	5856	1119	891	1734	1546	2576	77913
K00024	11287	10391	10211	11473	5927	9008	9861	7533	10543	8371	8918	10373	8198	7169	7615	11347	8860	11012	7978	7126	10334	8087	8758	9756	15615	26535	17235	16511	31458	15124	21193	20070	13804	20794	26600	32675	15632	25022	27755	31966	33710	31855	19298	14840	7457	9808	9629	704722
K00027	15359	15543	15440	16135	10188	14905	16431	12625	14500	13926	15172	14363	14091	12228	12576	16445	15855	17934	13046	12719	15117	12982	14246	13828	18791	47260	27623	30306	46470	30556	31609	34149	25561	34218	43599	54528	27953	49976	45963	56907	52768	46823	35400	26014	11041	18144	14053	1155366
K00029	10831	11223	10631	9360	6501	9721	11239	8220	10854	9786	9659	11411	10071	8653	9156	10133	10610	12317	8803	8276	11351	9021	9263	7786	11367	36764	17674	20489	37155	21810	23998	24699	20410	28100	36206	40567	21910	33644	33442	45015	40575	23849	26942	19740	7223	12358	8431	827244
K00030	1179	897	823	1093	593	866	1051	756	572	1646	927	897	868	941	792	1346	1506	1883	1029	1481	1023	1049	1055	1457	2332	2268	6429	1656	3882	2099	2085	3512	1922	1636	4074	5993	1881	4668	4556	4739	6034	5711	2958	1528	1578	1311	1169	99751
K00031	3966	3602	4303	4988	3252	4899	4678	3431	3618	3497	5365	4219	4273	3843	3986	4703	5296	4408	4211	3718	3689	4118	5271	6318	8675	9131	10472	9674	9593	12319	6568	12122	5484	6313	7733	13192	5463	16858	10993	13255	10381	22563	7717	8316	3616	7424	5500	327014
K00032	10	17	0	62	24	5	13	22	0	20	4	18	24	2	1	71	7	10	1	5	2	15	3	3	0	137	15	148	81	83	41	78	24	27	4	258	13	159	43	158	96	50	10	30	21	7	2	1824
