KEGG_Module	CTU_ABQ_Rm_LE	CTU_ABR_Rm_LE	CTU_ABX_Rm_LE	CTU_ABZ_Rp_LE	CTU_ACA_Rp_LE	CTU_ACB_Rp_LE	CTU_ACC_Rp_LE	CTU_ACE_Rp_LE	CTU_ACG_Rp_LE	AL_Rm_LE	AM_Rm_LE	AN_Rm_LE	AS_Rp_LE	AT_Rp_LE	AU_Rp_LE	AV_Rp_LE	AW_Rp_LE	BK_Rm_LE	BL_Rm_LE	BM_Rm_LE	BN_Rm_LE	BO_Rm_LE	BP_Rm_LE	BQ_Rm_LE	BRZ_GK_Rm_Control	BRZ_GL_Rp_Control	BRZ_GN_Rm_Control	BRZ_GP_Rp_Control	BRZ_GS_Rm_Control	BRZ_GT_Rp_Control	BRZ_HA_Rm_Control	BRZ_HB_Rp_Control	BRZ_HE_Rm_Control	BRZ_HF_Rp_Control	BRZ_HI_Rm_Control	BRZ_HK_Rp_Control	BRZ_HN_Rm_Control	BRZ_HP_Rp_Control	BRZ_HS_Rm_Control	BRZ_HT_Rp_Control	BRZ_IB_Rm_Control	BRZ_IC_Rp_Control	BRZ_IF_Rm_Control	BRZ_IG_Rp_Control	BX_Rp_LE	BY_Rp_LE	BZ_Rp_LE	sum
-	26128710	24756050	25676620	27610671	18960229	26727067	27262405	20659444	23899705	25402348	26686023	25273208	26548837	23901561	23276569	30152292	29940343	31323394	23582133	22742911	26738311	24034676	27532062	29126779	44788788	75122418	62805913	63022911	84790653	58691087	59612518	64637845	48888327	61141222	78718080	98878563	51252456	94932945	83017099	99757359	99875869	105131420	62951602	53225785	22535410	32600558	27069500	2151390676
M00001	152165	138634	152417	157472	101796	141839	148815	113277	136708	137691	153755	135074	139503	122581	129634	167152	157572	173869	132249	125477	147452	131186	155154	163895	237815	384776	345119	326619	432853	312946	326331	339508	243547	318674	412877	509248	262568	484104	447265	523550	509204	603824	330743	253534	118312	175994	153749	11468527
M00002	90510	85107	90816	95942	61390	85551	89690	68407	80748	83655	91678	83037	85655	75579	78548	101572	95889	104581	81042	74687	88512	79988	95656	98521	141383	229265	204615	202988	258149	191666	202461	201795	150405	197042	254791	309129	163219	294683	270287	315754	300655	369077	202443	155882	71558	108502	92553	6955063
M00003	112477	104218	116046	119594	76054	105794	110854	84637	101994	107220	117857	105691	108740	96160	100325	128538	123270	133821	102235	97221	113867	102038	118872	125453	179955	306401	257692	253313	341880	248357	252150	263479	190557	250328	324435	404744	206633	384751	344560	414949	397596	465831	262320	199805	92822	138834	119517	8913885
M00004	67008	60050	62837	74129	45435	61974	66283	49936	56503	59440	65319	58618	60031	53004	54468	74604	68940	74947	57107	53863	63769	57405	67248	76326	104278	153172	147964	142536	175582	128850	130592	149688	99889	127065	171376	218471	106402	211328	188474	224801	209998	290499	136784	107711	54330	76054	70330	4915418
M00005	11283	10747	12069	13064	8216	12386	12354	9100	10032	11571	12683	10550	12041	10643	11058	15236	14315	14706	11117	10654	12160	10615	12560	14152	20159	31264	30546	28525	35880	27648	23351	32506	20141	24661	32556	42398	21149	45091	36618	47902	43717	60294	27178	23776	10878	15190	13469	978209
M00006	8737	7672	5271	12739	5128	6868	8421	6647	6301	7153	5752	6826	6750	5620	5523	11849	7933	8344	6318	4964	7667	5963	6432	8498	13346	12747	14800	14589	18227	9894	12850	16998	9087	11115	18353	25174	8744	23307	20662	27844	21268	47834	12415	11304	8617	7326	10334	550211
M00007	44939	39346	43386	47595	31033	41997	44258	33152	38146	38630	44748	38800	40000	35491	36259	46809	46181	49303	38101	36230	41527	39062	45812	51783	66525	104127	94463	95631	114385	89257	86644	97978	65556	85302	111884	144039	71583	139582	124140	146002	136421	181678	91471	72016	34226	52045	44946	3242489
M00008	11036	11338	9468	17445	7819	11673	12828	10027	10683	9703	9415	9089	10505	9025	9341	16342	12005	11811	9062	8577	10666	8778	9425	11651	18253	25425	22043	20964	27788	18572	19982	23581	14278	19925	23730	37569	14850	32735	28612	36493	31598	51768	19429	17025	11117	12200	13884	799533
M00009	134603	119817	126738	140983	83394	118482	128400	96741	115714	112070	120424	121174	113580	99609	103006	130083	130289	141664	102751	100332	122703	105292	117141	127086	188048	351576	267046	242694	388826	253850	256343	291907	194933	263191	355626	452422	209503	408064	375220	454614	437056	444556	276688	212131	100399	151583	122160	9510512
