KEGG_Pathway	CTU_ABQ_Rm_LE	CTU_ABR_Rm_LE	CTU_ABX_Rm_LE	CTU_ABZ_Rp_LE	CTU_ACA_Rp_LE	CTU_ACB_Rp_LE	CTU_ACC_Rp_LE	CTU_ACE_Rp_LE	CTU_ACG_Rp_LE	AL_Rm_LE	AM_Rm_LE	AN_Rm_LE	AS_Rp_LE	AT_Rp_LE	AU_Rp_LE	AV_Rp_LE	AW_Rp_LE	BK_Rm_LE	BL_Rm_LE	BM_Rm_LE	BN_Rm_LE	BO_Rm_LE	BP_Rm_LE	BQ_Rm_LE	BRZ_GK_Rm_Control	BRZ_GL_Rp_Control	BRZ_GN_Rm_Control	BRZ_GP_Rp_Control	BRZ_GS_Rm_Control	BRZ_GT_Rp_Control	BRZ_HA_Rm_Control	BRZ_HB_Rp_Control	BRZ_HE_Rm_Control	BRZ_HF_Rp_Control	BRZ_HI_Rm_Control	BRZ_HK_Rp_Control	BRZ_HN_Rm_Control	BRZ_HP_Rp_Control	BRZ_HS_Rm_Control	BRZ_HT_Rp_Control	BRZ_IB_Rm_Control	BRZ_IC_Rp_Control	BRZ_IF_Rm_Control	BRZ_IG_Rp_Control	BX_Rp_LE	BY_Rp_LE	BZ_Rp_LE	sum
-	23045701	21879743	22759659	24345555	16887001	23826535	24161257	18280257	21165064	22538176	23679733	22424375	23668469	21363171	20674158	26766593	26622486	27800426	20940617	20171760	23725379	21353594	24478544	25950418	40116639	66863975	55981729	56307611	75635244	52254816	52998166	57483309	43730003	54403467	69911884	88044223	45715837	84642518	73877623	88428627	89161987	93432646	56014941	47843626	20039941	28893195	24030285	1914320963
ko00010	359009	327982	359942	371534	237958	336813	353158	270131	322158	333257	366407	323890	334108	294299	305046	385197	386527	416700	311676	300477	354368	316430	364250	383053	559611	989148	816579	784660	1081536	785500	793093	840132	596507	786772	1023374	1269027	652685	1228378	1095255	1316603	1272469	1408423	828958	628960	287728	419383	355870	27935021
ko00020	197236	177552	189438	210865	122976	175422	186633	141706	174135	167103	182233	178547	169488	150018	154853	201596	190857	214391	157260	150349	182682	157205	178820	191464	287046	497782	405222	355276	560891	363149	384239	406233	283509	382680	513051	656549	311263	577097	550494	645026	625533	663840	404241	299963	148249	223779	188056	13935997
ko00030	195564	183742	194866	218111	137161	196803	206268	158970	178421	184527	201280	174504	186372	164892	169276	224825	220759	228717	172076	168136	192815	176358	202113	222646	313060	524733	450162	448814	568770	434929	408117	479250	321691	416239	533971	701104	346121	685637	584852	729358	683671	853437	440687	349563	168970	234532	207143	15444013
ko00040	119680	127431	121178	158859	84238	130804	135681	101951	110169	121637	121325	111072	120373	108503	107267	158521	144685	143803	102314	108888	121433	108352	120847	133064	204946	353684	252777	247557	391238	269068	264442	296628	207197	271517	338112	487044	223670	388301	361772	472252	455103	450129	282627	225722	115203	151806	132465	9765335
ko00051	205287	200319	208740	221942	139912	205117	219957	166676	186929	203678	216250	195407	201057	179031	183012	234323	243215	245792	183712	182094	214629	189535	213353	222758	319612	606466	477166	446073	662937	491326	459473	499184	364699	477261	623174	781614	388174	716084	651478	823412	775430	794795	496360	378724	184348	253971	215353	16749839
ko00052	291432	281589	292959	326953	193419	284514	301556	229201	260359	279041	307790	269134	283213	244738	257832	351203	337157	346618	254494	253772	302256	267122	306620	327185	485099	872991	635679	656093	917795	662819	642633	760968	495082	660265	828461	1068489	537865	1045815	895252	1158516	1081919	1214237	676156	557771	258006	352340	314198	23628606
ko00053	28915	26975	28399	34222	19750	27843	29932	22389	25193	27922	27887	26531	27965	24408	23916	34663	32478	33484	23666	23634	27517	25235	27364	30916	43667	89000	61239	65453	89227	62105	63136	83686	50594	63544	84087	114543	52296	104134	85720	120379	107595	123929	67822	57028	24236	34413	28233	2337270
ko00061	144577	138970	140673	154277	99949	137623	145868	111586	134161	141193	140459	140360	139817	124417	127580	167647	156855	169280	123447	119253	142895	130328	146230	155730	239400	390115	336657	324162	421682	307494	339338	347843	226109	324561	400214	523348	260313	474383	418564	526178	506453	568451	321648	253950	120260	170544	152206	11287048
ko00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	1	0	2	0	2	0	1	0	0	0	4	0	3	0	1	0	2	0	0	0	22
